model,string_conversions,feat_types,dataset,offsets,nfeat,accuracy,precision,recall,f1_score,auc_roc,mcc
linear,"('conform', 'no_reduction')","('counts', 'tfeat', 'protvec')",10-folds cv,"(1, 2, 3)",207,0.7433854907539118,0.6407326007326006,0.6648351648351648,0.6482469752165549,0.7743031135531134,0.4516436131152092
linear,"('conform', 'no_reduction', 'hydro')","('counts', 'tfeat', 'protvec')",10-folds cv,"(1,)",497,0.7330014224751068,0.6235508312636797,0.6873626373626375,0.6480699530354703,0.8016492673992675,0.4428346630750085
linear,"('conform', 'no_reduction')","('counts', 'tfeat', 'protvec')",10-folds cv,"(1,)",187,0.7354907539118065,0.6207559339525284,0.6873626373626374,0.6480350124476931,0.7765897435897436,0.4439039167025185
linear,"('no_reduction', 'hydro')","('tfeat', 'protvec')",10-folds cv,"(2,)",360,0.7305120910384069,0.612203548085901,0.6989010989010989,0.6473628778928507,0.8007051282051281,0.43920898281466414
linear,"('conform', 'no_reduction')","('counts', 'mat', 'tfeat', 'protvec')",10-folds cv,"(1, 2, 3)",1554,0.7406827880512091,0.6338218141507616,0.6714285714285715,0.6473260073260073,0.7885934065934064,0.4486076595614799
linear,"('conform', 'no_reduction', 'hydro')","('counts', 'mat', 'tfeat', 'protvec')",10-folds cv,"(3,)",971,0.7357752489331435,0.6255190058479532,0.6873626373626374,0.6472597913358783,0.8019386446886447,0.4481881094883672
linear,"('conform', 'no_reduction')","('tfeat', 'protvec')",10-folds cv,"(2, 3)",170,0.7381934566145092,0.6263955407337761,0.6807692307692308,0.6471938089513172,0.7795714285714286,0.4475134830502375
linear,"('conform', 'no_reduction', 'hydro')","('counts', 'mat', 'protvec')",10-folds cv,"(1, 2)",1430,0.7356330014224751,0.6270956236745712,0.6873626373626374,0.6470917027072773,0.8006291208791207,0.4490108015888191
linear,"('conform', 'no_reduction')","('mat', 'tfeat', 'protvec')",10-folds cv,"(3,)",609,0.7357041251778095,0.6259709734709734,0.6807692307692308,0.6467704953555898,0.7713855311355311,0.444337151463653
linear,"('no_reduction', 'hydro')","('protvec',)",10-folds cv,"(1,)",350,0.7330014224751066,0.6191204615817619,0.6917582417582417,0.6462301157009542,0.7925521978021978,0.4429256002416018
