model,string_conversions,feat_types,dataset,offsets,nfeat,accuracy,precision,recall,f1_score,auc_roc,mcc
ann,"('conform', 'no_reduction')","('counts', 'tfeat')",10-folds cv,"(1, 3)",47,0.722617354,0.625715004,0.612087912,0.606408014,0.782281136,0.404990746
ann,"('no_reduction', 'hydro')","('counts', 'tfeat')",10-folds cv,"(1, 3)",45,0.706472262,0.607039211,0.520879121,0.551981053,0.781834249,0.345038794
ann,"('no_reduction',)","('counts', 'tfeat', 'protvec')",10-folds cv,"(1,)",75,0.73029872,0.660847944,0.589010989,0.606688494,0.781699176,0.418142398
ann,"('conform', 'no_reduction')","('protvec',)",10-folds cv,"(1,)",150,0.729943101,0.645578771,0.664285714,0.629639176,0.781500916,0.442648358
ann,"('conform',)","('counts', 'mat')",10-folds cv,"(1, 2)",105,0.724537696,0.607556164,0.677472527,0.63756225,0.780438187,0.421864288
ann,"('conform', 'no_reduction', 'hydro')","('counts', 'tfeat')",10-folds cv,"(1, 3)",62,0.693243243,0.575278325,0.521978022,0.532176188,0.780284799,0.320513311
ann,"('conform', 'no_reduction', 'hydro')","('counts', 'tfeat')",10-folds cv,"(3,)",47,0.682716927,0.59552632,0.636263736,0.570865105,0.779945055,0.356302801
ann,"('no_reduction',)","('counts', 'tfeat')",10-folds cv,"(1, 2, 3)",35,0.704054054,0.617649573,0.47967033,0.529114761,0.779691392,0.333648556
ann,"('conform', 'no_reduction')","('tfeat', 'protvec')",10-folds cv,"(1, 2, 3)",180,0.719985775,0.633222097,0.593406593,0.585049078,0.779372253,0.400368178
ann,"('conform', 'no_reduction')","('counts', 'protvec')",10-folds cv,"(1,)",177,0.716927454,0.611953357,0.59010989,0.568141072,0.779153846,0.38763877
ann,"('no_reduction',)","('counts',)",10-folds cv,"(1,)",20,0.72197724,0.59682853,0.682967033,0.632115881,0.777608974,0.418552158
ann,"('conform', 'no_reduction')","('counts', 'mat', 'tfeat')",10-folds cv,"(2,)",486,0.66970128,0.51363687,0.468681319,0.434519981,0.777235348,0.262422597
ann,"('no_reduction', 'hydro')","('counts', 'mat', 'tfeat')",10-folds cv,"(3,)",460,0.685917496,0.57070064,0.606593407,0.546037377,0.776892857,0.365349007
ann,"('conform', 'no_reduction')","('counts', 'tfeat')",10-folds cv,"(1, 2)",47,0.701493599,0.605182073,0.473626374,0.516499918,0.776858059,0.324524241
ann,"('no_reduction',)","('counts', 'mat', 'tfeat', 'protvec')",10-folds cv,"(2,)",475,0.690825036,0.594529915,0.470879121,0.489545295,0.776326923,0.306974945
ann,"('conform', 'hydro')","('mat',)",10-folds cv,"(2,)",74,0.695803698,0.572515891,0.63956044,0.600294639,0.776261905,0.362036139
ann,"('no_reduction',)","('mat', 'tfeat', 'protvec')",10-folds cv,"(2,)",455,0.688051209,0.587417582,0.569230769,0.557744159,0.776037546,0.343012121
ann,"('no_reduction',)","('counts', 'tfeat', 'protvec')",10-folds cv,"(3,)",75,0.711806543,0.640044634,0.552197802,0.578560859,0.775834249,0.377100212
ann,"('conform', 'no_reduction')","('tfeat', 'protvec')",10-folds cv,"(1, 2)",170,0.704125178,0.622995557,0.517032967,0.532276241,0.775589286,0.34941075
ann,"('conform', 'hydro')","('counts', 'mat', 'tfeat')",10-folds cv,"(1, 2, 3)",264,0.693314367,0.570511204,0.596153846,0.565260133,0.775075092,0.347245588
ann,"('conform', 'no_reduction')","('tfeat', 'protvec')",10-folds cv,"(3,)",160,0.682645804,0.572361111,0.548901099,0.533351724,0.774484432,0.323111302
ann,"('conform', 'no_reduction')","('counts', 'tfeat', 'protvec')",10-folds cv,"(2, 3)",197,0.696088193,0.60755291,0.640659341,0.599688339,0.774412088,0.378649721
ann,"('no_reduction', 'hydro')","('counts', 'tfeat', 'protvec')",10-folds cv,"(1, 2)",395,0.700853485,0.5,0.465934066,0.452863693,0.774348901,0.31033668
ann,"('no_reduction',)","('mat', 'tfeat')",10-folds cv,"(1, 3)",810,0.753840683,0.521941392,0.469230769,0.47894636,0.773801282,0.391705972
ann,"('no_reduction', 'hydro')","('mat', 'tfeat')",10-folds cv,"(2,)",435,0.669274538,0.529558435,0.428571429,0.417855595,0.772995421,0.256564717
